gauge_id,date,observed
4703002,2001-01-04,0.0
7330001,2001-01-04,0.0
9127001,2001-01-04,88.0
4703002,2001-01-05,0.0
7330001,2001-01-05,0.0
9127001,2001-01-05,474.0
4703002,2001-01-06,0.0
7330001,2001-01-06,0.0
9127001,2001-01-06,124.0
4703002,2001-01-07,69.0
7330001,2001-01-07,3166.153846153846
9127001,2001-01-07,2866.0666666666666
4703002,2001-01-08,0.0
7330001,2001-01-08,12.0
9127001,2001-01-08,2904.125
4703002,2001-01-09,0.0
7330001,2001-01-09,1376.8181818181818
9127001,2001-01-09,2443.208333333336
4703002,2001-01-10,0.0
7330001,2001-01-10,0.0
9127001,2001-01-10,109.0
4703002,2001-01-11,0.0
7330001,2001-01-11,0.0
9127001,2001-01-11,0.0
4703002,2001-01-12,12.0
7330001,2001-01-12,2.0
9127001,2001-01-12,0.0
4703002,2001-01-13,0.0
7330001,2001-01-13,0.0
9127001,2001-01-13,60.0
4703002,2001-01-14,0.0
7330001,2001-01-14,0.0
9127001,2001-01-14,0.0
4703002,2001-01-15,0.0
7330001,2001-01-15,0.0
9127001,2001-01-15,0.0
4703002,2001-01-16,55.0
7330001,2001-01-16,0.0
9127001,2001-01-16,8.0
4703002,2001-01-17,62.0
7330001,2001-01-17,0.0
9127001,2001-01-17,0.0
4703002,2001-01-18,0.0
7330001,2001-01-18,0.0
9127001,2001-01-18,1.0
4703002,2001-01-19,15.0
7330001,2001-01-19,0.0
9127001,2001-01-19,15.0
4703002,2001-01-20,0.0
7330001,2001-01-20,0.0
9127001,2001-01-20,0.0
4703002,2001-01-21,6.0
7330001,2001-01-21,0.0
9127001,2001-01-21,142.0
4703002,2001-01-22,10.0
7330001,2001-01-22,0.0
9127001,2001-01-22,0.0
4703002,2001-01-23,0.0
7330001,2001-01-23,0.0
9127001,2001-01-23,2.0
4703002,2001-01-24,15.0
7330001,2001-01-24,0.0
9127001,2001-01-24,0.0
4703002,2001-01-25,0.0
7330001,2001-01-25,0.0
9127001,2001-01-25,23.0
4703002,2001-01-26,42.0
7330001,2001-01-26,0.0
9127001,2001-01-26,0.0
4703002,2001-01-27,6.0
7330001,2001-01-27,2.0
9127001,2001-01-27,0.0
4703002,2001-01-28,0.0
7330001,2001-01-28,0.0
9127001,2001-01-28,2.0
4703002,2001-01-29,1.0
7330001,2001-01-29,0.0
9127001,2001-01-29,0.0
4703002,2001-01-30,0.0
7330001,2001-01-30,3980.409999999995
9127001,2001-01-30,5000.345614035078
4703002,2001-01-31,0.0
7330001,2001-01-31,280.0
9127001,2001-01-31,407.6666666666667
4703002,2001-02-01,0.0
7330001,2001-02-01,0.0
9127001,2001-02-01,347.0
4703002,2001-02-02,0.0
7330001,2001-02-02,0.0
9127001,2001-02-02,266.0
4703002,2001-02-03,360.0
7330001,2001-02-03,0.0
9127001,2001-02-03,0.0
4703002,2001-02-04,0.0
7330001,2001-02-04,10.0
9127001,2001-02-04,0.0
4703002,2001-02-05,0.0
7330001,2001-02-05,0.0
9127001,2001-02-05,43.0
4703002,2001-02-06,0.0
7330001,2001-02-06,0.0
9127001,2001-02-06,3.0
4703002,2001-02-07,0.0
7330001,2001-02-07,0.0
9127001,2001-02-07,0.0
4703002,2001-02-08,0.0
7330001,2001-02-08,0.0
9127001,2001-02-08,0.0
4703002,2001-02-09,0.0
7330001,2001-02-09,152.0
9127001,2001-02-09,1890.650000000005
4703002,2001-02-10,0.0
7330001,2001-02-10,0.0
9127001,2001-02-10,0.0
4703002,2001-02-11,2.0
7330001,2001-02-11,0.0
9127001,2001-02-11,0.0
4703002,2001-02-12,0.0
7330001,2001-02-12,0.0
9127001,2001-02-12,0.0
4703002,2001-02-13,2.0
7330001,2001-02-13,0.0
9127001,2001-02-13,30.0
4703002,2001-02-14,6.0
7330001,2001-02-14,0.0
9127001,2001-02-14,1.0
4703002,2001-02-15,0.0
7330001,2001-02-15,0.0
9127001,2001-02-15,1.0
4703002,2001-02-16,262.3333333333333
7330001,2001-02-16,0.0
9127001,2001-02-16,0.0
4703002,2001-02-17,118.0
7330001,2001-02-17,2.0
9127001,2001-02-17,0.0
4703002,2001-02-18,37.0
7330001,2001-02-18,0.0
9127001,2001-02-18,0.0
4703002,2001-02-19,0.0
7330001,2001-02-19,0.0
9127001,2001-02-19,5.0
4703002,2001-02-20,0.0
7330001,2001-02-20,0.0
9127001,2001-02-20,0.0
4703002,2001-02-21,42.0
7330001,2001-02-21,0.0
9127001,2001-02-21,124.0
